Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-08,2017 Top 10,2017,https://boxd.it/4L8kO,

Position,Name,Year,URL,Description
1,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
2,Phantom Thread,2017,https://boxd.it/e4uc,
3,Lady Bird,2017,https://boxd.it/dGNE,
4,Blade Runner 2049,2017,https://boxd.it/b8wK,
5,"I, Tonya",2017,https://boxd.it/dzR0,
6,Baby Driver,2017,https://boxd.it/bhF2,
7,Get Out,2017,https://boxd.it/eOCm,
8,Dunkirk,2017,https://boxd.it/d0Y6,
9,The Disaster Artist,2017,https://boxd.it/cTqc,
10,Wind River,2017,https://boxd.it/dR3i,
