Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-04-10,Animated Disney Ranked,"disney, animation",https://boxd.it/5d2L6,

Position,Name,Year,URL,Description
1,Bambi,1942,https://boxd.it/25AQ,
2,Zootopia,2016,https://boxd.it/84xS,
3,The Lion King,1994,https://boxd.it/201Q,
4,Tangled,2010,https://boxd.it/15gO,
5,Beauty and the Beast,1991,https://boxd.it/1XhG,
6,Aladdin,1992,https://boxd.it/29yE,
7,The Little Mermaid,1989,https://boxd.it/1WYO,
8,Cinderella,1950,https://boxd.it/1Uki,
9,Moana,2016,https://boxd.it/8tfY,
10,Pocahontas,1995,https://boxd.it/1W2g,
11,Mulan,1998,https://boxd.it/1VFw,
12,Dumbo,1941,https://boxd.it/1U2o,
13,The Princess and the Frog,2009,https://boxd.it/1WQq,
14,Lilo & Stitch,2002,https://boxd.it/1TAY,
15,Lady and the Tramp,1955,https://boxd.it/1Wv8,
16,Frozen,2013,https://boxd.it/3GNa,
17,Sleeping Beauty,1959,https://boxd.it/1V9A,
18,Snow White and the Seven Dwarfs,1937,https://boxd.it/2arO,
19,Pinocchio,1940,https://boxd.it/1V8C,
20,Frozen II,2019,https://boxd.it/aPvo,
21,Fantasia,1940,https://boxd.it/29HG,
22,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC,
23,The Jungle Book,1967,https://boxd.it/1YY2,
