Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-05-11,Favourite Scenes,,https://boxd.it/5ugou,Check notes for the scene

Position,Name,Year,URL,Description
1,La La Land,2016,https://boxd.it/a5fa,<b>Epilogue </b>- The&nbsp;final 10 minutes
2,Whiplash,2014,https://boxd.it/7bQA,The final 10 minutes of the film. Am I noticing a pattern here or is Damien Chazelle a master of crafting endings?
3,Star Wars,1977,https://boxd.it/72s,<p>Binary Sunset</p>
4,Jojo Rabbit,2019,https://boxd.it/iEBG,<p>The final dance</p>
5,Drive,2011,https://boxd.it/IG,<p>The elevator kiss</p>
6,1917,2019,https://boxd.it/jj4y,<p>1. Écoust Scene<br />2. Scene between Schofield and the French mother and child</p><p>3. Schofield's run as the soldiers attack from the trenches</p><p>4. The final 5 minutes of the film</p><p>5. <b>Spoiler </b>- Blake's death in Schofield's arms</p>
7,The Dark Knight,2008,https://boxd.it/2b0k,<p>The whole sequence revolving around the boat loaded with explosives</p>
8,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,<p>The final 20 minutes</p>
9,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,<p>Dixon jumping into the Police Station fire</p>
10,Avengers: Endgame,2019,https://boxd.it/9vE4,<p>1. Portals<br />.<br />.<br />.<br />2. The final shot aka Steve Rogers dancing with Peggy</p>
11,Roma,2018,https://boxd.it/f69M,<p>The beach scene</p>
12,Blade Runner,1982,https://boxd.it/2bcA,<p>Tears in Rain</p>
13,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,<p>Possession</p>
14,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,"<p>Gandalf's <i>""Death is just another path""</i>&nbsp;speech to Pippin</p>"
15,Toy Story 3,2010,https://boxd.it/1WRe,<p>Andy giving his toys away at the end</p>
16,Full Metal Jacket,1987,https://boxd.it/2a1Q,<p>The scene where the Vietnamese Sniper girl dies. I'm mainly referring to the close-up and how Kubrick holds on to his facial expressions.</p>
17,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,"<p>The throne room scene with Snoke, Rey and Kylo</p>"
18,Joker,2019,https://boxd.it/h4cS,<p>Bathroom dance</p>
19,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,"<p>Miles Morales becoming Spider-Man, aka the ""<i>What's up Danger""</i>&nbsp;scene.</p>"
20,The King's Speech,2010,https://boxd.it/dX0,"When Bertie aka King Henry listens back to his <i style=""font-weight: bold;"">To be or not to be </i>recording"
21,Moonlight,2016,https://boxd.it/d6bE,<p>Middle of the world</p>
22,Inception,2010,https://boxd.it/1skk,<p>The scene with Time by Hans Zimmer</p>
23,Manchester by the Sea,2016,https://boxd.it/b2L0,The police station scene
24,Once Upon a Time in the West,1968,https://boxd.it/2az4,Duel between Harmonica and Frank
25,Zero Dark Thirty,2012,https://boxd.it/3n1w,<p>The close-up at the end which is also the final shot of the film</p>
26,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,The dance in the tent to<b><i>&nbsp;O Children</i></b>
27,My Neighbor Totoro,1988,https://boxd.it/20eA,<p>The scene where Totoro starts growing the massive tree with Hisaisi's score soaring.</p>
28,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,<p>Salamander Eyes</p>
