Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-09,Films seen in Cinemas,,https://boxd.it/4Xqey,

Position,Name,Year,URL,Description
1,The Dark Knight Rises,2012,https://boxd.it/H3m,"<p>Odeon Blanch. Watched in IMAX, 25th July 2020. First movie watched alone 😎</p>"
2,The Dark Knight,2008,https://boxd.it/2b0k,"<p>Odeon Blanch. Watched in IMAX, 24th July 2020. With Daniel Samuel Viviana</p>"
3,The Invisible Man,2020,https://boxd.it/kWlA,Vue Liffey. With Kevin and Ben Hennessy
4,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,<p>Odeon Blanch IMAX. With family</p>
5,Little Women,2019,https://boxd.it/aSVk,Vue Liffey. With Ben Hennessy
6,1917,2019,https://boxd.it/jj4y,"<p>Cineworld Dublin. IMAX. With rising, Robert Melia, Ben O'Brien and Mohammed Babelli</p>"
7,Knives Out,2019,https://boxd.it/jWEA,Vue Liffey. Watched for school trip. (Secondary school)
8,Joker,2019,https://boxd.it/h4cS,Vue Liffey. With Ben Hennessy and 2 of his friends (Saoirse and Holly)
9,Ad Astra,2019,https://boxd.it/ePzI,<p>Cineworld Dublin. IMAX. With Daniel and Viviana</p>
10,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,Savoy Dublin. With Rory Bevan-Molloy
11,Spider-Man: Far From Home,2019,https://boxd.it/fegG,Vue Liffey. With Muneeb
12,Toy Story 4,2019,https://boxd.it/9ALu,Odeon Blanch. With family
13,Avengers: Endgame,2019,https://boxd.it/9vE4,"<p>Cineworld Dublin. IMAX 3d. With Muneeb, Rising, Mohammed Babelli and Ibrahim Eldiev</p>"
14,Captain Marvel,2019,https://boxd.it/9vSA,Vue Liffey. With Doill and Kihan
15,Bumblebee,2018,https://boxd.it/f21O,Odeon Blanch. With Family
16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,Movies @ Dundrum. With Cian and Oscar
17,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,Vue Liffey. With Viviana
18,Venom,2018,https://boxd.it/b8wA,"Vue Liffey. With Muneeb, Rising and Mohammed Babelli"
19,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,Movies @ Dundrum. With Cian and Oscar
20,Avengers: Infinity War,2018,https://boxd.it/9vEe,"Vue Liffey. With Muneeb, Rising and Mohammed Babelli."
21,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,<p>Odeon Blanch. IMAX. With family</p>
22,The Dark Tower,2017,https://boxd.it/bU66,"Odeon Blanch. With Cian, Oscar and Wallace."
23,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,Odeon Blanch. With family
24,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,<p>Cineworld Dublin. IMAX. With family</p>
25,Inside Out,2015,https://boxd.it/4KHC,Odeon Blanch. With dad and Viviana
26,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,"Vue Liffey. With Cian, Oscar, Wallace and Daniel"
27,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU,Savoy Dublin. Watched with loads of Irish BC's.
28,Earth to Echo,2014,https://boxd.it/71uO,"Somewhere near Dundrum, not movies @ Dundrum. With Doill, Kihan, Carol and Hana"
29,Planes,2013,https://boxd.it/4Na2,"Vue Liffey. With Cian, Oscar, Wallace and Rory O'Connor"
30,The Avengers,2012,https://boxd.it/1xFW,Vue Liffey. With family
31,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,Vue Liffey. With family.
32,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,Vue Liffey. With family.
33,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,Vue Liffey. With family (2009)<br><br>Watched in Odeon Blanch on 26th July 2020 with Muneeb.
34,Frozen,2013,https://boxd.it/3GNa,Vue Liffey. Watched for school trip (primary school)
