Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-08,MCU Ranked,mcu,https://boxd.it/4L8ie,

Position,Name,Year,URL,Description
1,Captain America: Civil War,2016,https://boxd.it/89Ja,
2,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
3,Avengers: Endgame,2019,https://boxd.it/9vE4,
4,Black Panther,2018,https://boxd.it/8MHs,
5,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
6,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
7,Avengers: Infinity War,2018,https://boxd.it/9vEe,
8,Iron Man,2008,https://boxd.it/28dA,
9,The Avengers,2012,https://boxd.it/1xFW,
10,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
11,Thor: Ragnarok,2017,https://boxd.it/8MHi,
12,Iron Man 3,2013,https://boxd.it/2cBQ,
13,The Incredible Hulk,2008,https://boxd.it/28dU,
14,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
15,Captain America: The First Avenger,2011,https://boxd.it/28b0,
16,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,
17,Doctor Strange,2016,https://boxd.it/8MH8,
18,Ant-Man,2015,https://boxd.it/3vmW,
19,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,
20,Captain Marvel,2019,https://boxd.it/9vSA,
21,Iron Man 2,2010,https://boxd.it/1WZM,
22,Thor,2011,https://boxd.it/1WQU,
23,Thor: The Dark World,2013,https://boxd.it/2DqA,
