Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-08,Re-watchlist,,https://boxd.it/4L7Vu,

Position,Name,Year,URL,Description
1,Blade Runner,1982,https://boxd.it/2bcA,
2,Blade Runner 2049,2017,https://boxd.it/b8wK,
3,Incendies,2010,https://boxd.it/Msm,
4,First Man,2018,https://boxd.it/cPym,
5,Roma,2018,https://boxd.it/f69M,
6,Moonlight,2016,https://boxd.it/d6bE,
7,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
8,The Shawshank Redemption,1994,https://boxd.it/2aHi,
9,Joker,2019,https://boxd.it/h4cS,
10,Gladiator,2000,https://boxd.it/2b9m,
