Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-08,Favourite Films,,https://boxd.it/4L7Gu,

Position,Name,Year,URL,Description
1,La La Land,2016,https://boxd.it/a5fa,
2,The Dark Knight,2008,https://boxd.it/2b0k,
3,Before Sunrise,1995,https://boxd.it/2bcU,
4,Before Sunset,2004,https://boxd.it/2bcg,
5,Lawrence of Arabia,1962,https://boxd.it/2wRE,
6,Whiplash,2014,https://boxd.it/7bQA,
7,Past Lives,2023,https://boxd.it/oNB8,
8,Chinatown,1974,https://boxd.it/29vU,
9,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
10,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
11,(500) Days of Summer,2009,https://boxd.it/1EmM,
12,Dune: Part Two,2024,https://boxd.it/pUfA,
13,The Holdovers,2023,https://boxd.it/vHza,
14,Challengers,2024,https://boxd.it/zld0,
15,The Godfather,1972,https://boxd.it/2aNK,
