Date,Name,Year,Letterboxd URI
2020-02-08,Alien,1979,https://boxd.it/2awY
2024-05-30,Bowling for Columbine,2002,https://boxd.it/28Ls
2024-05-30,8½,1963,https://boxd.it/2aqm
2024-05-30,Life Itself,2014,https://boxd.it/7lqC
2024-12-25,The Usual Suspects,1995,https://boxd.it/29XE
2024-12-25,A Clockwork Orange,1971,https://boxd.it/2aVE
2024-12-25,Braveheart,1995,https://boxd.it/2aTI
2025-01-09,Harakiri,1962,https://boxd.it/1NTU
2025-01-25,The Seventh Seal,1957,https://boxd.it/2ahO
2025-01-25,"Paris, Texas",1984,https://boxd.it/29Ts
