Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-21,Favourite Spider-Man Films,,https://boxd.it/4R01Q,Includes all Live-Action Adaptations + Spider-verse

Position,Name,Year,URL,Description
1,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
2,Spider-Man 2,2004,https://boxd.it/2a88,
3,Spider-Man,2002,https://boxd.it/2a8i,
4,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
5,The Amazing Spider-Man,2012,https://boxd.it/27PI,
6,Spider-Man: Far from Home,2019,https://boxd.it/fegG,
7,Spider-Man 3,2007,https://boxd.it/2a7Y,
8,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
