Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-03,Films of Cinematic Beauty,,https://boxd.it/4VGTI,

Position,Name,Year,URL,Description
1,Pain and Glory,2019,https://boxd.it/iOBQ,
2,Roma,2018,https://boxd.it/f69M,
3,La La Land,2016,https://boxd.it/a5fa,
4,Jojo Rabbit,2019,https://boxd.it/iEBG,
5,Moonlight,2016,https://boxd.it/d6bE,
6,The Place Beyond the Pines,2012,https://boxd.it/3mDu,
7,The Tree of Life,2011,https://boxd.it/1Zu8,
8,A Hidden Life,2019,https://boxd.it/eb1Q,
9,My Neighbor Totoro,1988,https://boxd.it/20eA,
