Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-04-10,Pixar Ranked,pixar,https://boxd.it/5d6bw,

Position,Name,Year,URL,Description
1,Ratatouille,2007,https://boxd.it/27ww,
2,Toy Story,1995,https://boxd.it/29qA,
3,Inside Out,2015,https://boxd.it/4KHC,
4,Coco,2017,https://boxd.it/bYJQ,
5,Finding Nemo,2003,https://boxd.it/72i,
6,The Incredibles,2004,https://boxd.it/1XLm,
7,Up,2009,https://boxd.it/1OEc,
8,Toy Story 3,2010,https://boxd.it/1WRe,
9,WALL·E,2008,https://boxd.it/1VEo,
10,Toy Story 4,2019,https://boxd.it/9ALu,
11,Toy Story 2,1999,https://boxd.it/29qq,
12,Incredibles 2,2018,https://boxd.it/7IPg,
13,"Monsters, Inc.",2001,https://boxd.it/2a46,
14,Cars,2006,https://boxd.it/29ho,
15,The Good Dinosaur,2015,https://boxd.it/3AD4,
16,Onward,2020,https://boxd.it/io92,
17,Finding Dory,2016,https://boxd.it/4aAA,
18,A Bug's Life,1998,https://boxd.it/1Yyy,
19,Brave,2012,https://boxd.it/bVG,
