Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-02-15,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/Zokpn,3.5,Yes,,2018-06-03
2020-02-15,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/ZokEH,3.5,Yes,,2018-06-04
2020-02-15,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/Zol5t,4,Yes,,2018-06-05
2020-02-15,Harry Potter and the Goblet of Fire,2005,https://boxd.it/ZoltF,4,Yes,,2018-06-06
2020-02-15,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/Zolzt,3.5,Yes,,2018-06-07
2020-02-15,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/ZolGz,4,Yes,,2018-06-08
2020-02-15,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/Zom63,3.5,Yes,,2018-06-09
2020-02-15,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/ZomeL,4.5,Yes,,2018-06-10
2020-05-17,Superbad,2007,https://boxd.it/19eeyt,3,,,2018-07-14
2020-02-08,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/YKfA1,4.5,,,2018-12-02
2020-02-08,The Social Network,2010,https://boxd.it/YKfCB,4.5,,,2018-12-02
2020-02-08,The Dark Knight Rises,2012,https://boxd.it/YKfDf,4.5,,,2018-12-02
2020-02-08,The Hunger Games,2012,https://boxd.it/YKfDz,3.5,,,2018-12-02
2020-02-08,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/YKfLD,3.5,,,2018-12-02
2020-02-08,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/YKfP1,3.5,,,2018-12-02
2020-02-08,Harry Potter and the Goblet of Fire,2005,https://boxd.it/YKfQD,4,,,2018-12-02
2020-02-08,Batman Begins,2005,https://boxd.it/YKfSJ,4,,,2018-12-02
2020-02-08,The Dark Knight,2008,https://boxd.it/YKfXz,5,,,2018-12-02
2020-02-08,The Lord of the Rings: The Two Towers,2002,https://boxd.it/YKfGt,4.5,,,2018-12-03
2020-06-06,Inside I'm Dancing,2004,https://boxd.it/1bs2sf,3.5,,,2018-12-05
2020-02-08,Inception,2010,https://boxd.it/YKfDp,4.5,,,2018-12-08
2020-05-16,Home Alone,1990,https://boxd.it/19dHYt,3.5,,,2018-12-25
2020-05-16,Home Alone 2: Lost in New York,1992,https://boxd.it/19dI9r,2.5,,,2018-12-26
2020-02-08,The Lord of the Rings: The Return of the King,2003,https://boxd.it/YKfGj,4.5,,,2018-12-27
2020-02-08,Mission: Impossible – Fallout,2018,https://boxd.it/YKfZ1,4,,,2018-12-29
2020-02-08,Ratatouille,2007,https://boxd.it/YKfTR,4,,,2018-12-30
2020-02-08,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/YKfAv,4.5,,,2019-01-03
2020-02-08,The Shawshank Redemption,1994,https://boxd.it/YKfyJ,4.5,,,2019-01-04
2020-02-08,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/YKfSf,3.5,,,2019-01-04
2020-02-08,Whiplash,2014,https://boxd.it/YKfN5,5,,,2019-01-07
2020-02-08,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/YKfVt,4,,,2019-01-07
2020-02-08,Wonder Woman,2017,https://boxd.it/YKfWL,4,,,2019-01-08
2020-02-22,Venom,2018,https://boxd.it/102ZnR,2,,,2019-01-08
2020-02-15,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/Zodav,2.5,Yes,,2019-01-12
2020-02-08,WALL·E,2008,https://boxd.it/YKgaj,4,,,2019-01-29
2020-02-08,Interstellar,2014,https://boxd.it/YKg8d,4.5,,,2019-01-31
2020-02-08,First Man,2018,https://boxd.it/YKfB9,4,,,2019-02-07
2020-02-08,La La Land,2016,https://boxd.it/YKfTx,5,,,2019-02-07
2020-02-08,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/YKfXp,4.5,,,2019-02-09
2020-02-15,The Hobbit: An Unexpected Journey,2012,https://boxd.it/Zogpj,3.5,Yes,,2019-02-12
2020-02-08,The Imitation Game,2014,https://boxd.it/YKfKl,4,,,2019-02-13
2020-02-15,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/ZogkX,3.5,Yes,,2019-02-13
