Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-02-08,All-Time Top 25,all-time,https://boxd.it/4L7Gu,My favourite 25 Films.

Position,Name,Year,URL,Description
1,The Dark Knight,2008,https://boxd.it/2b0k,
2,La La Land,2016,https://boxd.it/a5fa,
3,Lawrence of Arabia,1962,https://boxd.it/2wRE,
4,Brief Encounter,1945,https://boxd.it/29sm,
5,Whiplash,2014,https://boxd.it/7bQA,
6,The Tree of Life,2011,https://boxd.it/1Zu8,
7,Jojo Rabbit,2019,https://boxd.it/iEBG,
8,Parasite,2019,https://boxd.it/hTha,
9,Roma,2018,https://boxd.it/f69M,
10,Boyhood,2014,https://boxd.it/3178,
11,Toy Story,1995,https://boxd.it/29qA,
12,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
13,Ratatouille,2007,https://boxd.it/27ww,
14,12 Angry Men,1957,https://boxd.it/2auI,
15,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
16,Inception,2010,https://boxd.it/1skk,
17,Blade Runner 2049,2017,https://boxd.it/b8wK,
18,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
19,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
20,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
21,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
22,Phantom Thread,2017,https://boxd.it/e4uc,
23,Full Metal Jacket,1987,https://boxd.it/2a1Q,
24,The Shawshank Redemption,1994,https://boxd.it/2aHi,
25,Little Women,2019,https://boxd.it/aSVk,
