Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-06-07,Ferris Bueller's Day Off,1986,https://boxd.it/1bCyx7,4,,"Really great time - Hilarious, and Hughes' style really shines through every scene. The writing is even surprisingly good at times. Overall, a really enjoyable film.",,2020-06-06
2020-06-13,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/1cgfkj,3.5,,"Really enjoyed this. Cathy Yan has a vision and she <i>goes</i> for it. Her tone is consistent throughout the whole film - the colours <i>explode</i> with a playful vibrance. And the action scenes!! The choreography is incredible. It's really evident that the director and the people behind this really had a blast working on it.

Although, I thought the script is a bit messy and the first ~40 minutes of this are spent with setting up plot-lines through constant flashbacks which I wasn't too much of a fan of.

Despite those flaws, the film exudes a slick style from Cathy Yan, and is a total blast.

",,2020-06-13
2020-06-14,Hamlet,1948,https://boxd.it/1cnqF7,4.5,,"Not a faithful adaptation, but a faithful one would have a runtime of 9 hours. The length of the material is always a dilemma for any filmmaker that braces Shakespeare's masterpiece: <i>Hamlet</i>.

Personally, I was fine with the cut material. One of the omissions were the duo of Rosencrantz and Guildenstern; who's function were to reveal the dark side to Hamlet, when he has them ruthlessly killed without remorse. While this is not included in the film, there is still a dark edge shrouded in mystery with Olivier's Hamlet - evident through his brutal stabbing of his uncle and his morbid ruminations (<i>""How long will a man lie i' the earth ere he rot?""</i>).

However, what I personally <i>loved</i> about the film was Olivier's respect for the many themes of Hamlet. When I first read Hamlet, I was fascinated by the Play's themes of <b>Death</b> and <b>Legacy</b>. Luckily enough, one of the main focuses of this adaptation were the themes of Death and Legacy. So in a way, this version was tailored to my taste.

Like the ribbon on an already-perfect gift-box, the final sequence of the film serves as a perfect finale to the tragedy of Elsinore. The shot first wades through the corridors of Elsinore as Hamlet is carried upon the shoulders of four soldiers - a regal and heroic image, this image cements the everlasting legacy that Hamlet will hold among the rooms and halls of Elsinore. The shot then lingers to the pansies that Ophelia left behind - calling back to the theme of legacy and remembrance. We then cut to the prayer room, this being the place where Hamlet succumbed to his procrastination and inaction earlier in the film. This illuminates the change in Hamlet's character, contrasting sharply against his <i>""This is I, Hamlet the Dane!""</i> moment in the graveyard. Following this, the camera pans to his mother's bedroom, calling back to Hamlet's verbal assault at his mother. I would argue that Hamlet's insanity reached an apex, causing him to be overwhelmed and to thus lash out at his mother in this scene. This highlights the contrast between Hamlet's troubled state earlier in the film compared to his great sense of purpose that he displayed when he returned to Elsinore. The camera then smoothly transitions (a <i>very</i> impressive feat for a non-American production in 1948) to darkly-lit image of Hamlet being hoisted to the tower on Elsinore: a highly effective metaphor, conveying the heroic legacy that Hamlet will leave behind. This is a perfect ending for the Dane, as he has always had a harrowing fear towards death - however, the memory and stories that he leaves behind will ensure that he will never be forgotten. So in a way, Hamlet has conquered his ultimate fear of death because he will always be remembered.",,2020-06-13
2020-06-29,Cars,2006,https://boxd.it/1dT5Xn,3.5,,"Originally gave this a 3/5, but upped it to a 3.5. Mainly because I found McQueen's journey to be quite endearing, starting as a self-centered hotshot who's only focus in life is to gawk at golden piston cups, changing to a racing car that actually understands there's more to life than just crossing a finish line.

As well as that, Radiator Springs is <i>amazing</i>. I heard somewhere from some interview that at Pixar they always try to make their stories' settings feel like they've been <i>""lived in""</i>.  This rings true with Radiator Springs. The town has an indescribable <i>humble</i> quality to it - the breathtaking scenery  also contributes to the spellbinding nature of the town. Also loved the music choice of ""Sh-Boom by The Chords"" during the neon-lighting scene!",,2020-06-28
2020-07-01,WALL·E,2008,https://boxd.it/1e5QRP,4,Yes,"First act is perfection - The visual storytelling is unparalleled. Second and third act are still good but not perfect. I found that the second and third acts relied more heavily on entertaining set pieces and ""action"" sequences, still a satisfying conclusion nonetheless.

Pixar always has a strong emphasis on character and this film is no exception. Many don't realise how difficult it is to establish a connection between a human (the audience) and an (usually inanimate) object. This leads me on to one of the film's strongest themes - connection. It has a lot to say regarding the human's gradual disconnect with others and their steady reliance on technology. The theme is executed so well in the context of the story because the robots (particular Wall.e and EVA) show more humanity throughout than narrative compared to the humans.

Overall and amazing story and adventure, the only thing holding this back from 4.5 stars is the film's over-reliance on ""action"" in the second and third acts, but this is still a beautiful film from Pixar and a worthy addition to their towering catalogue.",,2020-06-30
2020-07-02,Toy Story,1995,https://boxd.it/1ebyB7,4.5,Yes,"Beautifully captures the endearing blissfulness of childhood. As a child, the smallest and most meaningless problems in the world are sometimes magnified - In the case of Andy, the loss of his favourite toy results in heartbreak, whereas for his mother (an adult), this simple mishappening proves to be insignificant (""<i>Honey, I'm sure he's around. You'll find him</i>""), but through the eyes of a child: it can mean the end of the world.

Furthermore, I was also fortunate enough to have parents that cloaked me in bliss regarding the problems around me. This is best demonstrated when Andy's mother announces that they are moving, Andy is ecstatic - however, as an audience we can see that moving house can be an exciting experience, but it also comes with a headache of stress and logistics. However, these banal matters are never brought to Andy's attention; Andy's Mom takes this responsibility upon her shoulders without her son noticing a single thing. This kind of bliss between a child and parent figure is depicted seamlessly in the film.

Moreover, The writing of Buzz and Woody are phenomenal. Both characters start in similar places - Woody believes himself to be special, but for the wrong reasons. He has a self-centered view of himself, believing himself to be special because he is Andy's favourite toy. Likewise, Buzz (naively) believes himself to be special because he thinks he is a genuine space ranger. Both characters then embark on a journey of self-discovery. Along this adventure, both characters must accept their true purpose and what makes them special - they are not special for the reasons above, they are special because they are Andy's Toys.

You often hear the phrase ""<i>It made me feel like a kid again</i>"". However, in this case it is most apt. In fact, I didn't just ""<i>feel</i>"" like a kid for the 81-minute runtime. I <b><i>was</i></b> a kid, bewildered and in awe of the moments exuberantly brought to life on-screen.

<b>""<i>To Infinity, and Beyond!</i>""</b>",,2020-07-01
2020-07-06,The Good Dinosaur,2015,https://boxd.it/1eC9IL,3.5,,"Has genuine heart. The 3D Rendering is gorgeous - some stills look photo-real. Some scenes were genuinely <b>terrifying</b>.

A thematically simple story of confronting and overcoming your fear. Thought the pacing was a bit off at the start and overall its a decent film.",,2020-07-05
2020-07-07,Coco,2017,https://boxd.it/1eIyZ5,4.5,,"The visuals are <i>gorgeous</i>. Vibrant colours range from the radiant oranges of leaves to the iridescent blues of The Land of the Dead. Truly a feast for the eyes, and is one of the best-looking animated films.

Unkrich echoes Shakespeare's Hamlet by providing some daunting yet thought-provoking ideas regarding the themes of <b>Legacy</b> and <b>memory</b>. Most notably, the harrowing fact that one day we will be truly forgotten by every living person on Earth: the final death, as the film puts it. It is thus fitting that music plays a large role in the film - because our memories live on through art and stories.

Interestingly, this is the most plot-heavy Pixar film. Many twists and turns occur with the plot, leading one discovery to another. In retrospect, the plot twists seem predictable, but not so much in the moment. Not a criticism, just an observation.

The film also features Pixar's recurring theme of Family, however it's execution is anything but. In many of Disney's films, the parent often goes through the change of having to learn to let their child follow their heart, be themselves, etc. (The Little Mermaid, for example) Although, Pixar challenges this in <i>Coco</i>. Ernesto de la Cruz represents the person that follows this mantra blindly: he follows his dream but at the cost of killing his best friend and having no chance for a family. On the other hand, Miguel represents the correct way to approach this mantra. He wants to follow his dream of being a musician, but realises it will cost him his relationship with his family. It is worth mentioning an overlooked yet vital moment in the film - when Miguel's great great grandmother grants him her blessing to return home to save Héctor, but at the cost of never playing music again. Miguel, without hesitation, says yes. This would've been an extremely ambitious move by the filmmakers but unfortunately they take the easy route out by having the film end where Héctor's memory is saved and the Rivera family can play music. This ending is still wonderful but it would've been really interesting if the filmmakers took the road less traveled.

To surmise, Coco is a film about Legacy - presenting daunting yet important ideas regarding the memory of loved ones after they die. They also subvert the typical theme of Family into something fresh, while providing an emotional journey through the land of the living and the dead. Overall, an amazing film.",,2020-07-06
2020-07-08,Onward,2020,https://boxd.it/1eOUFX,3.5,,"Starts off poorly (first act) but then evolves into an actual emotional story. The highpoint of the film is easily the battle against the dragon - not for the theatrics, but because the action is rooted in character and is then followed up by some heartwarming and emotional moments.

There is one phenomenal scene with Ian (Tom Holland's character) staring at his checklist, thinking that he's wasted his only opportunity to meet his dad - then he realises that Barley, someone he had been afraid to call his older brother his whole life, had been the missing father figure that Ian thought he never had his whole life. It's a scene worthy of the top-tier Pixar films and a perfect example of utilizing the film medium to it's absolute fullest potential. The editor and director (Dan Scanlon) deserve a serious pat on the back for that.

Overall, a pretty good film. Heartwarming at times, funny at others. Has an adventurous whimsy to it which I really liked. There is still light at the end of the tunnel for Pixar.",,2020-07-07
2020-07-09,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/1eV6QZ,4.5,Yes,"Oh my god I loved this. A comic-book brought to life in an explosive collage of vibrant colours. Each frame <b>oozes </b>with saturated colours reminiscent of a comic-book, resulting in absolutely<i> spellbinding</i> visuals.

This film's commitment to style is really what sets it apart. The film is a literal comic-book brought to life - through multiple panels on-screen and onomatopoeic text just to name a few. This results in a film that feels <i>alive</i>.

But it's not just the visuals and style that contribute toward the film's personality. The film is populated with incredible<i> human</i> characters, cementing this is a grounded story. This is a true Spider-Man story through-and-through - what it so strongly handles is the overwhelming toll it takes on any person who has to helm the name of Spider-Man. Miles is thrust into the world with his powers, completely bewildered and <i>far</i> from ready. He undergoes the heart-breaking problems that confront any Spider-Man: the loss of a loved one, and the ones closest to you drifting apart. These events break him apart to a point where even he himself doesn't know who he is or what he wants to be. Among all that, he is overshadowed with the thought that he has no choice but to commit to being Spider-Man. ""<i>With great power comes great responsibility</i>"" resonates strongly in this story as Miles learns he has no back door to exit through. <i>He has to get back up</i>. In a truly breathtaking scene, he takes the leap of faith - learning what it takes and truly becomes a Spider-Man.

The best Spider-Man movie since Raimi's Spider-Man 2, and one of the most visually inventive films I have other had the pleasure to see with my own eyes. An animated gem.",,2020-07-08
